Timestamp,Rx_X,Rx_Y,Rx_Z,PRN,Sat_X,Sat_Y,Sat_Z,Carrier_Phase((cycles),RSS((dBHz)
2024-12-27 02:43:48.390000,-2418189.139113585,5385823.559379437,2405652.2286304315,G26,-17471192.10001667,19679063.951060183,952052.2374084838,128088169.369,42.692
2024-12-27 02:43:48.390000,-2418189.139113585,5385823.559379437,2405652.2286304315,G28,8116807.666167371,-25155650.334401198,-2654593.203265004,135533226.424,41.392
2024-12-27 02:43:48.390000,-2418189.139113585,5385823.559379437,2405652.2286304315,G29,22033026.332381085,9673379.434590535,11064110.709128043,146178780.326,41.885
2024-12-27 02:43:48.390000,-2418189.139113585,5385823.559379437,2405652.2286304315,G32,15340710.572897878,19983728.84202612,8933294.964710569,131743103.517,44.892
2024-12-27 02:43:48.490000,-2418191.1087058643,5385818.364426423,2405653.4754515854,G26,-17471242.922931515,19679012.983145047,952140.3493899454,128088169.369,42.692
2024-12-27 02:43:48.490000,-2418191.1087058643,5385818.364426423,2405653.4754515854,G28,8116994.357508367,-25155562.527996276,-2654856.4888132513,135533226.424,41.392
2024-12-27 02:43:48.490000,-2418191.1087058643,5385818.364426423,2405653.4754515854,G29,22033206.028190624,9673365.088513652,11063765.570014128,146178780.326,41.885
2024-12-27 02:43:48.490000,-2418191.1087058643,5385818.364426423,2405653.4754515854,G32,15340915.738580769,19983360.801088165,8933773.831885163,131743103.517,44.892
2024-12-27 02:43:48.590000,-2418197.3144785874,5385825.825604284,2405664.283551862,G26,-17471293.743363842,19678962.01692558,952228.459365025,128088169.369,42.692
2024-12-27 02:43:48.590000,-2418197.3144785874,5385825.825604284,2405664.283551862,G28,8117181.050688698,-25155474.716655854,-2655119.7733534994,135533226.424,41.392
2024-12-27 02:43:48.590000,-2418197.3144785874,5385825.825604284,2405664.283551862,G29,22033385.718153264,9673350.7373472,11063420.43332684,146178780.326,41.885
2024-12-27 02:43:48.590000,-2418197.3144785874,5385825.825604284,2405664.283551862,G32,15341120.890295621,19982992.75409232,8934252.690786626,131743103.517,44.892
2024-12-27 02:43:48.690000,-2418190.991581302,5385820.77852695,2405659.1926876693,G26,-17471344.564746276,19678911.049227692,952316.5692562388,128088169.369,42.692
2024-12-27 02:43:48.690000,-2418190.991581302,5385820.77852695,2405659.1926876693,G28,8117367.742722284,-25155386.901568394,-2655383.054738245,135533226.424,41.392
2024-12-27 02:43:48.690000,-2418190.991581302,5385820.77852695,2405659.1926876693,G29,22033565.405943032,9673336.383711146,11063075.289463233,146178780.326,41.885
2024-12-27 02:43:48.690000,-2418190.991581302,5385820.77852695,2405659.1926876693,G32,15341326.025848502,19982624.698232275,8934731.551628651,131743103.517,44.892
2024-12-27 02:43:48.790000,-2418191.1328346604,5385814.78558874,2405652.8284080834,G26,-17471395.389203988,19678860.078092307,952404.6801621479,128088169.369,42.692
2024-12-27 02:43:48.790000,-2418191.1328346604,5385814.78558874,2405652.8284080834,G28,8117554.436826333,-25155299.08142584,-2655646.335544252,135533226.424,41.392
2024-12-27 02:43:48.790000,-2418191.1328346604,5385814.78558874,2405652.8284080834,G29,22033745.08850821,9673322.022783194,11062730.148712436,146178780.326,41.885
2024-12-27 02:43:48.790000,-2418191.1328346604,5385814.78558874,2405652.8284080834,G32,15341531.147470823,19982256.63500319,8935210.407115448,131743103.517,44.892
2024-12-27 02:43:48.890000,-2418185.789363748,5385806.838299073,2405651.5544952215,G26,-17471446.211179174,19678809.108652603,952492.7890616592,128088169.369,42.692
2024-12-27 02:43:48.890000,-2418185.789363748,5385806.838299073,2405651.5544952215,G28,8117741.127992054,-25155211.258249484,-2655909.611906187,135533226.424,41.392
2024-12-27 02:43:48.890000,-2418185.789363748,5385806.838299073,2405651.5544952215,G29,22033924.768115006,9673307.660389487,11062385.00147136,146178780.326,41.885
2024-12-27 02:43:48.890000,-2418185.789363748,5385806.838299073,2405651.5544952215,G32,15341736.25386337,19981888.565082204,8935689.257976443,131743103.517,44.892
2024-12-27 02:43:48.990000,-2418185.046891646,5385806.420671494,2405645.183039588,G26,-17471497.030916788,19678758.140673082,952580.896229423,128088169.369,42.692
2024-12-27 02:43:48.990000,-2418185.046891646,5385806.420671494,2405645.183039588,G28,8117927.820168763,-25155123.43049498,-2656172.886400808,135533226.424,41.392
2024-12-27 02:43:48.990000,-2418185.046891646,5385806.420671494,2405645.183039588,G29,22034104.4426007,9673293.292822812,11062039.855285453,146178780.326,41.885
2024-12-27 02:43:48.990000,-2418185.046891646,5385806.420671494,2405645.183039588,G32,15341941.344655694,19981520.48650809,8936168.109318245,131743103.517,44.892
2024-12-27 02:43:49.090000,-2418180.035732119,5385807.259745835,2405640.1209971337,G26,-17471547.852380734,19678707.170489836,952669.0038625649,128088169.369,42.692
2024-12-27 02:43:49.090000,-2418180.035732119,5385807.259745835,2405640.1209971337,G28,8118114.513818748,-25155035.597923126,-2656436.159886942,135533226.424,41.392
2024-12-27 02:43:49.090000,-2418180.035732119,5385807.259745835,2405640.1209971337,G29,22034284.114831544,9673278.922187245,11061694.702609345,146178780.326,41.885
2024-12-27 02:43:49.090000,-2418180.035732119,5385807.259745835,2405640.1209971337,G32,15342146.421906054,19981152.401872218,8936646.95165665,131743103.517,44.892
2024-12-27 02:43:49.190000,-2418183.9490868123,5385810.820248154,2405646.4655040656,G26,-17471598.67614372,19678656.19759436,952757.1119610615,128088169.369,42.692
2024-12-27 02:43:49.190000,-2418183.9490868123,5385810.820248154,2405646.4655040656,G28,8118301.209442948,-25154947.760417223,-2656699.431935008,135533226.424,41.392
2024-12-27 02:43:49.190000,-2418183.9490868123,5385810.820248154,2405646.4655040656,G29,22034463.781778347,9673264.545180159,11061349.552360559,146178780.326,41.885
2024-12-27 02:43:49.190000,-2418183.9490868123,5385810.820248154,2405646.4655040656,G32,15342351.483283652,19980784.308151253,8937125.795934562,131743103.517,44.892
2024-12-27 02:43:49.290000,-2418180.538202473,5385809.907943437,2405642.7887335205,G26,-17471649.49738279,19678605.22641333,952845.2183277934,128088169.369,42.692
