Timestamp,Rx_X,Rx_Y,Rx_Z,PRN,Sat_X,Sat_Y,Sat_Z,Elevation,Azimuth,Carrier_Phase(cycles),RSS(dBHz)
2024-12-27 02:42:24.190000,-2418199.9990729676,5385830.342745055,2405667.0215577385,G26,-17428362.376942195,19721798.422376126,877639.9873154989,68.0,238.0,128180093.571,40.261
2024-12-27 02:42:24.190000,-2418199.9990729676,5385830.342745055,2405667.0215577385,G28,7959627.5622632075,-25228082.292136263,-2432098.8415093753,47.0,10.0,135481143.912,42.186
2024-12-27 02:42:24.190000,-2418199.9990729676,5385830.342745055,2405667.0215577385,G29,21880358.815828748,9683998.415203424,11353865.73713,22.0,80.0,146201164.043,39.126
2024-12-27 02:42:24.190000,-2418199.9990729676,5385830.342745055,2405667.0215577385,G31,23251858.203536466,-2412377.3349507563,-12994479.856322022,47.0,325.0,133674639.569,42.169
2024-12-27 02:42:24.290000,-2418211.789595074,5385839.4887334695,2405666.3118297993,G26,-17428413.28842799,19721747.88232141,877728.6254362917,68.0,238.0,128180093.571,40.261
2024-12-27 02:42:24.290000,-2418211.789595074,5385839.4887334695,2405666.3118297993,G28,7959814.220304012,-25227998.051243052,-2432364.032547996,47.0,10.0,135481143.912,42.186
2024-12-27 02:42:24.290000,-2418211.789595074,5385839.4887334695,2405666.3118297993,G29,21880541.737063956,9683987.540425636,11353522.627292236,22.0,80.0,146201164.043,39.126
2024-12-27 02:42:24.290000,-2418211.789595074,5385839.4887334695,2405666.3118297993,G31,23251952.050440688,-2412131.3681609067,-12994351.21207402,47.0,325.0,133674639.569,42.169
2024-12-27 02:42:24.390000,-2418232.359525592,5385863.322817503,2405683.5614520414,G26,-17428464.19844603,19721697.34299475,877817.2623795832,68.0,238.0,128180093.571,40.261
2024-12-27 02:42:24.390000,-2418232.359525592,5385863.322817503,2405683.5614520414,G28,7960000.8768210765,-25227913.80667587,-2432629.220500045,47.0,10.0,135481143.912,42.186
2024-12-27 02:42:24.390000,-2418232.359525592,5385863.322817503,2405683.5614520414,G29,21880724.65573387,9683976.66352006,11353179.510926072,22.0,80.0,146201164.043,39.126
2024-12-27 02:42:24.390000,-2418232.359525592,5385863.322817503,2405683.5614520414,G31,23252045.894754045,-2411885.4048234564,-12994222.565174446,47.0,325.0,133674639.569,42.169
2024-12-27 02:42:24.490000,-2418220.931233681,5385853.145626483,2405675.0652832934,G26,-17428515.110233422,19721646.801449925,877905.8995231669,68.0,238.0,128180093.571,40.261
2024-12-27 02:42:24.490000,-2418220.931233681,5385853.145626483,2405675.0652832934,G28,7960187.535406411,-25227829.55705376,-2432894.407954768,47.0,10.0,135481143.912,42.186
2024-12-27 02:42:24.490000,-2418220.931233681,5385853.145626483,2405675.0652832934,G29,21880907.56960704,9683965.780731013,11352836.395532468,22.0,80.0,146201164.043,39.126
2024-12-27 02:42:24.490000,-2418220.931233681,5385853.145626483,2405675.0652832934,G31,23252139.737235643,-2411639.4382136,-12994093.915422907,47.0,325.0,133674639.569,42.169
2024-12-27 02:42:24.590000,-2418208.4096767837,5385834.43930311,2405668.5582868205,G26,-17428566.02268354,19721596.258681938,877994.5365914651,68.0,238.0,128180093.571,40.261
2024-12-27 02:42:24.590000,-2418208.4096767837,5385834.43930311,2405668.5582868205,G28,7960374.194766706,-25227745.302949887,-2433159.593185856,47.0,10.0,135481143.912,42.186
2024-12-27 02:42:24.590000,-2418208.4096767837,5385834.43930311,2405668.5582868205,G29,21881090.47954391,9683954.894113062,11352493.277702032,22.0,80.0,146201164.043,39.126
2024-12-27 02:42:24.590000,-2418208.4096767837,5385834.43930311,2405668.5582868205,G31,23252233.577108115,-2411393.475146789,-12993965.263048623,47.0,325.0,133674639.569,42.169
2024-12-27 02:42:24.690000,-2418217.7862641397,5385836.593483216,2405680.3927556393,G26,-17428616.933994275,19721545.716368966,878083.172206684,68.0,238.0,128180093.571,40.261
2024-12-27 02:42:24.690000,-2418217.7862641397,5385836.593483216,2405680.3927556393,G28,7960560.850208658,-25227661.04609289,-2433424.7736039325,47.0,10.0,135481143.912,42.186
2024-12-27 02:42:24.690000,-2418217.7862641397,5385836.593483216,2405680.3927556393,G29,21881273.38596717,9683944.002711045,11352150.157434806,22.0,80.0,146201164.043,39.126
2024-12-27 02:42:24.690000,-2418217.7862641397,5385836.593483216,2405680.3927556393,G31,23252327.414866652,-2411147.51135737,-12993836.607879795,47.0,325.0,133674639.569,42.169
2024-12-27 02:42:24.790000,-2418205.1889022896,5385830.318716579,2405669.5893932264,G26,-17428667.841624126,19721495.17677417,878171.8060932729,68.0,238.0,128180093.571,40.261
2024-12-27 02:42:24.790000,-2418205.1889022896,5385830.318716579,2405669.5893932264,G28,7960747.508317553,-25227576.78395082,-2433689.9539559456,47.0,10.0,135481143.912,42.186
2024-12-27 02:42:24.790000,-2418205.1889022896,5385830.318716579,2405669.5893932264,G29,21881456.28899836,9683933.108649198,11351807.0326851,22.0,80.0,146201164.043,39.126
2024-12-27 02:42:24.790000,-2418205.1889022896,5385830.318716579,2405669.5893932264,G31,23252421.25015771,-2410901.549914716,-12993707.950031111,47.0,325.0,133674639.569,42.169
2024-12-27 02:42:24.890000,-2418187.027654373,5385815.894963414,2405657.240049232,G26,-17428718.753482107,19721444.6327369,878260.4410067716,68.0,239.0,128180093.571,40.261
2024-12-27 02:42:24.890000,-2418187.027654373,5385815.894963414,2405657.240049232,G28,7960934.168031623,-25227492.516982518,-2433955.1329471427,47.0,10.0,135481143.912,42.186
2024-12-27 02:42:24.890000,-2418187.027654373,5385815.894963414,2405657.240049232,G29,21881639.18846229,9683922.210723683,11351463.904816817,22.0,80.0,146201164.043,39.126
2024-12-27 02:42:24.890000,-2418187.027654373,5385815.894963414,2405657.240049232,G31,23252515.08374015,-2410655.584093947,-12993579.289302027,47.0,325.0,133674639.569,42.169
2024-12-27 02:42:24.990000,-2418213.8667417215,5385843.403445854,2405678.8030682593,G26,-17428769.66469198,19721394.08868629,878349.0750182837,68.0,239.0,128180093.571,40.261
2024-12-27 02:42:24.990000,-2418213.8667417215,5385843.403445854,2405678.8030682593,G28,7961120.826956248,-25227408.246108796,-2434220.308851266,47.0,10.0,135481143.912,42.186
2024-12-27 02:42:24.990000,-2418213.8667417215,5385843.403445854,2405678.8030682593,G29,21881822.083216753,9683911.30751704,11351120.777239667,22.0,80.0,146201164.043,39.126
2024-12-27 02:42:24.990000,-2418213.8667417215,5385843.403445854,2405678.8030682593,G31,23252608.914501548,-2410409.62368938,-12993450.626007916,47.0,325.0,133674639.569,42.169
2024-12-27 02:42:25.090000,-2418214.1108084465,5385848.688178862,2405673.7630343856,G26,-17428820.573901553,19721343.545851596,878437.7075767042,68.0,239.0,128180093.571,40.261
2024-12-27 02:42:25.090000,-2418214.1108084465,5385848.688178862,2405673.7630343856,G28,7961307.482792801,-25227323.97213775,-2434485.4808051568,47.0,10.0,135481143.912,42.186
2024-12-27 02:42:25.090000,-2418214.1108084465,5385848.688178862,2405673.7630343856,G29,21882004.9752834,9683900.400058582,11350777.645180214,22.0,80.0,146201164.043,39.126
2024-12-27 02:42:25.090000,-2418214.1108084465,5385848.688178862,2405673.7630343856,G31,23252702.743290443,-2410163.661365899,-12993321.959862191,47.0,325.0,133674639.569,42.169
2024-12-27 02:42:25.190000,-2418216.6175058596,5385847.392487217,2405674.4498018557,G26,-17428871.484880444,19721293.000798695,878526.3403353329,68.0,239.0,128180093.571,40.261
2024-12-27 02:42:25.190000,-2418216.6175058596,5385847.392487217,2405674.4498018557,G28,7961494.142629182,-25227239.692419626,-2434750.6531241303,47.0,10.0,135481143.912,42.186
2024-12-27 02:42:25.190000,-2418216.6175058596,5385847.392487217,2405674.4498018557,G29,21882187.861391567,9683889.487742396,11350434.515457911,22.0,80.0,146201164.043,39.126
2024-12-27 02:42:25.190000,-2418216.6175058596,5385847.392487217,2405674.4498018557,G31,23252796.569540232,-2409917.7019088473,-12993193.291094316,47.0,325.0,133674639.569,42.169
2024-12-27 02:42:25.290000,-2418212.4001057334,5385837.1286720885,2405674.391696923,G26,-17428922.39627646,19721242.454756826,878614.9727430579,68.0,239.0,128180093.571,40.261
2024-12-27 02:42:25.290000,-2418212.4001057334,5385837.1286720885,2405674.391696923,G28,7961680.801077498,-25227155.409026466,-2435015.8219242515,47.0,10.0,135481143.912,42.186
2024-12-27 02:42:25.290000,-2418212.4001057334,5385837.1286720885,2405674.391696923,G29,21882370.745671928,9683878.573228778,11350091.377843745,22.0,80.0,146201164.043,39.126
2024-12-27 02:42:25.290000,-2418212.4001057334,5385837.1286720885,2405674.391696923,G31,23252890.39365756,-2409671.741819825,-12993064.619561,47.0,325.0,133674639.569,42.169
2024-12-27 02:42:25.390000,-2418214.5925626936,5385845.941137689,2405676.089493717,G26,-17428973.306983024,19721191.908721067,878703.6045243166,68.0,239.0,128180093.571,40.261
2024-12-27 02:42:25.390000,-2418214.5925626936,5385845.941137689,2405676.089493717,G28,7961867.460029697,-25227071.121154733,-2435280.9893630943,47.0,10.0,135481143.912,42.186
2024-12-27 02:42:25.390000,-2418214.5925626936,5385845.941137689,2405676.089493717,G29,21882553.625067625,9683867.652230522,11349748.24188499,22.0,80.0,146201164.043,39.126
2024-12-27 02:42:25.390000,-2418214.5925626936,5385845.941137689,2405676.089493717,G31,23252984.21576711,-2409425.780150354,-12992935.945176233,47.0,325.0,133674639.569,42.169
2024-12-27 02:42:25.490000,-2418198.5856545265,5385829.172901587,2405667.377202952,G26,-17429024.215485066,19721141.364116035,878792.234301368,68.0,239.0,128180093.571,40.261
2024-12-27 02:42:25.490000,-2418198.5856545265,5385829.172901587,2405667.377202952,G28,7962054.1157979155,-25226986.83029886,-2435546.151988343,47.0,10.0,135481143.912,42.186
2024-12-27 02:42:25.490000,-2418198.5856545265,5385829.172901587,2405667.377202952,G29,21882736.501896583,9683856.729104739,11349405.099398324,22.0,80.0,146201164.043,39.126
